meson::build_root,0.56.0,meson.current_build_dir()|meson.project_build_root()|meson.global_build_root()
meson::source_root,0.56.0,meson.current_source_dir()|meson.project_source_root()|meson.global_source_root()
meson::get_cross_property,0.58.0,meson.get_external_property()
meson::has_exe_wrapper,0.55.0,meson.can_run_host_binaries()
@gui_app,0.56.0,@win_subsystem
@rust_crate_type,1.3.0,@rust_abi
@build_always,0.47.0,@build_always_stale|@build_by_default
build_tgt::path,0.59.0,build_tgt.full_path()
dep::get_configtool_variable,0.56.0,dep.get_variable()
dep::get_pkgconfig_variable,0.56.0,dep.get_variable()
external_program::path,0.55.0,external_program.full_path()
@languages,0.43.0,
java_module::generate_native_header,0.62.0,java_module.generate_native_headers()
java_module::generate_native_headers,1.0.0,java_module.native_headers()
python3_module::find_python,0.48.0,python_module.find_installation()
python3_module::extension_module,0.48.0,python_installation.extension_module()
python3_module::language_version,0.48.0,python_installation.language_version()
python3_module::sysconfig_path,0.40.0,python_installation.get_path()
